,Alamat,Email,Kategori,Kode Kategori,Nama Perusahaan,Status Badan Usaha,Telp1,Telp2,Telp3,Website
0,"BEURAWE, KEC. KUTA ALAM, KOTA BANDA ACEH",,"Kesenian, Hiburan, dan Rekreasi",,AMAZONE,None,082299812449,,,
1,"JL SYAH KUALA, KUTA PADANG, KEC. JOHAN PAHLAWAN, KAB. ACEH BARAT 23614",,"Kesenian, Hiburan, dan Rekreasi",,ARMADA FUTSAL,None,081269882222,,,
2,"JL T UMAR DSN SEROJA, LAMTEMEN TIMUR, KEC. JAYA BARU, KOTA BANDA ACEH 23230",,"Kesenian, Hiburan, dan Rekreasi",,FANTASI ERESTAMA GEMILANG,PT,0651-8011029,,,
3,"JL T NYAK ARIF, KOTA BIREUN, KEC. KOTA JUANG, KAB. BIREUEN 24211",,"Kesenian, Hiburan, dan Rekreasi",,FUNLAND,None,,,,
4,"JL TAKENGON BINTANG DSN WIH BENGI, KELITU, KEC. BINTANG, KAB. ACEH TENGAH 24571",,"Kesenian, Hiburan, dan Rekreasi",,MAHATRI MEDIA TAMA,PT,085361116510,,,
5,"JL SULTAN ISKANDAR MUDA NO 3 , SUKARAMAI, KEC. BAITURRAHMAN, KOTA BANDA ACEH 23243",,"Kesenian, Hiburan, dan Rekreasi",,MUSEUM TSUNAMI,None,0651-40744,,,
6,"DSN TUMPOK BUNG, LAM ARA EUNGKIT, KEC. KUTA MALAKA, KAB. ACEH BESAR",,"Kesenian, Hiburan, dan Rekreasi",,WIM 69,None,085260034473,,,
7,"SUZUYA MARELAN PLAZA, TANAH ENAM RATUS, KEC. MEDAN MARELAN, KOTA MEDAN 20245",,"Kesenian, Hiburan, dan Rekreasi",,AMAZON MARELAN,None,061-888108151,,,
8,"JL BALAI KOTA MERDEKA WALK, KESAWAN, KEC. MEDAN BARAT, KOTA MEDAN 20112",amz.mrdk@amazone.co.id,"Kesenian, Hiburan, dan Rekreasi",,AMAZONE,None,061-4570325,,,
9,"MALL CENTRE POINT LANTAL 3A, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,"Kesenian, Hiburan, dan Rekreasi",,AMAZONE,None,061-80510501,,,
10,"LT 4 SUN PLAZA, MADRAS HULU, KEC. MEDAN POLONIA, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,AMAZONE,None,061-4501583,,,
11,"PLAZA MEDAN FAIR, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",,"Kesenian, Hiburan, dan Rekreasi",,BEST FITNESS,PT,061-849100,,,
12,"JL RING ROAD NO 105 E LK 22, TANJUNG REJO, KEC. MEDAN SUNGGAL, KOTA MEDAN 20122",,"Kesenian, Hiburan, dan Rekreasi",,BODY FITNES GYM,PT,08116512789,,,
13,"JL JAWA NO 8 MALL CENTRE POINT LT.2, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,"Kesenian, Hiburan, dan Rekreasi",,BODY WORKS,None,061-80510048,,,
14,"GD CAPITAL, JL PUTRI HIJAU NO 1A , KESAWAN, KEC. MEDAN BARAT, KOTA MEDAN 20111",,"Kesenian, Hiburan, dan Rekreasi",,CAKRAWALA DINAMIKA SEMESTA,PT,061-4558148,,,
15,"LT 4 NO BOG SUN PLAZA, MADRAS HULU, KEC. MEDAN POLONIA, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,CELEBRITY FITNES,None,061-4501990,,,
16,"JL B KATAMSO KOMP CENTRIUM , A U R, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",,"Kesenian, Hiburan, dan Rekreasi",,CHARLY KARAOKE,None,061-4552206,,,
17,"JL KH ZAINUL ARIFIN LV 4 ZONE A-12 SUN, MADRAS HULU, KEC. MEDAN POLONIA, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,CINEMA XX,PT,061-4501561,,,
18,"MALL CENTRE POINT LANTAI 3A, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,"Kesenian, Hiburan, dan Rekreasi",,CINEMA XXI,None,061-80510321,061-80510521,,
19,"MALL CENTRE POINT LANTAL 6, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,"Kesenian, Hiburan, dan Rekreasi",,DE TONES,None,061-80510618,,,
20,"PLAZA MEDAN FAIR L T 4, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",,"Kesenian, Hiburan, dan Rekreasi",,ELECTRONIC MEGAINDO,PT,061-4140440,,,
21,"PLAZA MEDAN FAIR, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,ELEKTRONIK MEGA INDO,PT,061-4140440,,,
22,"BINJAI SUPERMALL LT UG, JL SOEKARNO HATTA, TIMBANG LANGKAT, KEC. BINJAI TIMUR, KOTA BINJAI 20732",,"Kesenian, Hiburan, dan Rekreasi",,EMI INTERACTIVE GAMES,None,061-8820122,,,
23,"JL KAPTEN MUSLIM NOMOR 111, DWI KORA, KEC. MEDAN HELVETIA, KOTA MEDAN 20118",,"Kesenian, Hiburan, dan Rekreasi",,FAMILY FITNES,None,061-80440578,,,
24,"JL S. PARMAN NO 21 F, PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN 20152",,"Kesenian, Hiburan, dan Rekreasi",,FAMILY FITNESS,None,061-4577215,,,
25,"JL THAMRIN THAMRIN PLAZA LT 1, SEI RENGAS II, KEC. MEDAN AREA, KOTA MEDAN 20214",,"Kesenian, Hiburan, dan Rekreasi",,FAMILY FITNESS,None,061-7351135,,,
26,"KOMP TASBI II BLOK XI RINGROAD, ASAM KUMBANG, KEC. MEDAN SELAYANG, KOTA MEDAN 20133",,"Kesenian, Hiburan, dan Rekreasi",,FAMILY FITNESS,None,061-88802272,,,
27,"JL IMAM BONJOL NO 9 GD PLAZA CIMB, PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN 20112",,"Kesenian, Hiburan, dan Rekreasi",,FAMILY MMA,None,061-888129,,,
28,"JL AHMAD YANI, BAKARAN BATU, KEC. RANTAU SELATAN, KAB. LABUHAN BATU",,"Kesenian, Hiburan, dan Rekreasi",,FUN LAND,None,,,,
29,"JL S.PARMAN NO 217 CAMBRIDGE CITY SQUARE, PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,HAPPY KIDDY,None,,,,
30,"JL SM.RAJA, BAKARAN BATU, KEC. RANTAU SELATAN, KAB. LABUHAN BATU",,"Kesenian, Hiburan, dan Rekreasi",,HAPPY KIDDY,None,085335659469,,,
31,"JL TEUKU UMAR , PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN 20112",,"Kesenian, Hiburan, dan Rekreasi",,HAPPY PUPPY,None,,,,
32,"JL JAWA NO 8 MEDAN MALL CENTRE POINT, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,HER BEST,None,,,,
33,"JL LETJEN JAMIN GINTING KM 45, SUKA MAKMUR, KEC. SIBOLANGIT, KAB. DELI SERDANG 20357",,"Kesenian, Hiburan, dan Rekreasi",,HILL PARK,None,0628-97610,0628-97024,,
34,"JL KPT PATTIMURA NO 66, D A R A T, KEC. MEDAN BARU, KOTA MEDAN 20153",,"Kesenian, Hiburan, dan Rekreasi",,HOME FAMILY KARAOKE,None,,,,
35,"KOMP TASBI II BLOK XI RINGROAD, ASAM KUMBANG, KEC. MEDAN SELAYANG, KOTA MEDAN 20133",,"Kesenian, Hiburan, dan Rekreasi",,INUL VIZTA,None,061-88825288,,,
36,"KOMP CENTRE POINT BLOK M NO 10-12, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,"Kesenian, Hiburan, dan Rekreasi",,INUL VIZTA,None,061-00510073,,,
37,"JL HM JONI NO 1 LK 10, TELADAN TIMUR, KEC. MEDAN KOTA, KOTA MEDAN 20217",adedermawanaje@gmail.com,"Kesenian, Hiburan, dan Rekreasi",,IZONE,None,061-73359930,,,
38,"JL HM JONI NO 1 LK 10, TELADAN TIMUR, KEC. MEDAN KOTA, KOTA MEDAN 20277",adedermawanaje@gmail.com,"Kesenian, Hiburan, dan Rekreasi",,IZONE,None,061-73359930,,,
39,"LK 3, PUDUN JAE, KEC. PADANGSIDIMPUAN BATUNADUA, KOTA PADANGSIDIMPUAN 22733",,"Kesenian, Hiburan, dan Rekreasi",,JB KARAOKE & LOUNGE,None,,,,
40,"JL IMAM BONJOL NO 17 RT. 01/RW. 10, H A M D A N, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",,"Kesenian, Hiburan, dan Rekreasi",,JET PLANE EXECUTIVE MUSIC ROOM,None,,,,
41,"KOMP MULTATULI BLOK AA NO 60 RT. 01/RW. 01, H A M D A N, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",,"Kesenian, Hiburan, dan Rekreasi",,K2,None,,,,
42,"KOMP SETIA BUDI POINT BLOK D NO 18, TANJUNG SARI, KEC. MEDAN SELAYANG, KOTA MEDAN 20132",,"Kesenian, Hiburan, dan Rekreasi",,K2 KAROKE KELUARGA,None,085922111991,,,
43,"JL COKROAMINOTO NOBOA, KISARAN KOTA, KEC. KISARAN BARAT, KAB. ASAHAN 21215",,"Kesenian, Hiburan, dan Rekreasi",,KANTOR PERPUSTAKAAN ARSIP DAN DOKUMENTASI KAB ASAHAN,PD,,,,
44,"JL GAGAK HITAM RINGROAD LK 20, TANJUNG REJO, KEC. MEDAN SUNGGAL, KOTA MEDAN 20122",,"Kesenian, Hiburan, dan Rekreasi",,KARAOKE 89,None,081260003000,,,
45,"JL HAJI ADAM MALIK PERUM BHP, PADANG BULAN, KEC. RANTAU UTARA, KAB. LABUHAN BATU",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG BHP,None,081370721388,,,
46,"JL MUTIARA, MEDAN ESTATE, KEC. PERCUT SEI TUAN, KAB. DELI SERDANG 20371",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG CLUB HOUSE,None,061-6641006,,,
47,"JL MERBAU KOMP, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG MERBAU MAS,None,,,,
48,"PERUM PESONA GRIA ABRI <TORGANDA>, ASAM KUMBANG, KEC. MEDAN SELAYANG, KOTA MEDAN 20133",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG SAPADIA,None,,,,
49,"DSN I , DURIN SIMBELANG, KEC. PANCUR BATU, KAB. DELI SERDANG 20353",,"Kesenian, Hiburan, dan Rekreasi",,LAPANGAN GOLF MARTABE,None,061-77811163,,,
50,"JL H ADAM MALIK NO 167 K, SILALAS, KEC. MEDAN BARAT, KOTA MEDAN 20114",mrlocusmedan@gmail.com,"Kesenian, Hiburan, dan Rekreasi",,LOCUS,None,061-6628903,,,
51,"PLAZA DELIMAS LT 1, LUBUK PAKAM I/II, KEC. LUBUK PAKAM, KAB. DELI SERDANG 20511",,"Kesenian, Hiburan, dan Rekreasi",,MATAHARI GRAHA FANTAS,PT,061-7953530,,,
52,"JL SEI ROKAN NO 70 A LK 8, BABURA, KEC. MEDAN SUNGGAL, KOTA MEDAN 20121",,"Kesenian, Hiburan, dan Rekreasi",,MEGA CIPTA UTAMA,PT,,,,
53,"PENGAMBATEN, KEC. MEREK, KAB. KARO",,"Kesenian, Hiburan, dan Rekreasi",,MEREK INDAH LESTARI,PT,,,,
54,"DSN 1 , PANTAI CERMIN KANAN, KEC. PANTAI CERMIN, KAB. SERDANG BEDAGAI 20987",,"Kesenian, Hiburan, dan Rekreasi",,PANTAI BALI LESTARI,None,,,,
55,"JL DI PANJAITAN NO 153/RW. 11, BABURA, KEC. MEDAN BARU, KOTA MEDAN 20154",,"Kesenian, Hiburan, dan Rekreasi",,PANTAI CERMIN THEME PARK RESORT,PT,,,,
56,"GD CAPITAL BUILDING, JL PUTRI HIJAU NO IA , KESAWAN, KEC. MEDAN BARAT, KOTA MEDAN 20111",,"Kesenian, Hiburan, dan Rekreasi",,SINERGI SURYA,PT,061-4555933,,,
57,"MALL CENTRE POINT LANTAI 3A, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,"Kesenian, Hiburan, dan Rekreasi",,SPACE RANGER,None,061-80510722,,,
58,"JL KAPTEN MH SITORUS RT. 02/RW. 03, TELADAN, KEC. SIANTAR BARAT, KOTA PEMATANG SIANTAR 21115",zoosiantar@yahoo.com,"Kesenian, Hiburan, dan Rekreasi",,TAMAN HEWAN,None,0622-21621,0622-432275,,
59,"JL DR MANSYUR NO 59, PADANG BULAN SELAYANG I, KEC. MEDAN SELAYANG, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,TERMINAL FUTSAL,None,081262187308,,,
60,"JL EMAS NO 10, SEI RENGAS II, KEC. MEDAN AREA, KOTA MEDAN 20214",,"Kesenian, Hiburan, dan Rekreasi",,TIGA SEMESTA EXECUTIVE,PT,,,,
61,"JL BATU BARA NO 17, SEI RENGAS II, KEC. MEDAN AREA, KOTA MEDAN",,"Kesenian, Hiburan, dan Rekreasi",,TIGA SEMESTA EXECUTIVE,PT,,,,
62,"JL THAMRIN THAMRIN PLAZA LT 6, SEI RENGAS II, KEC. MEDAN AREA, KOTA MEDAN 20214",,"Kesenian, Hiburan, dan Rekreasi",,TIME ZONE,None,061-7345055,,,
63,"PLAZA MEDAN FAIR, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN",medanfair@timezone.co.id,"Kesenian, Hiburan, dan Rekreasi",,TIME ZONE,None,061-4140230,,,
64,"JL SUTOMO SBC RT. 12/RW. 01, PAHLAWAN, KEC. SIANTAR TIMUR, KOTA PEMATANG SIANTAR 21132",,"Kesenian, Hiburan, dan Rekreasi",,TIME ZONE,None,,,,
65,"PLAZA MEDAN FAIR LT 4, JL GATOT SUBROTO NO 30 , S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",,"Kesenian, Hiburan, dan Rekreasi",,TIME ZONE,None,061-4140240,,,
66,"JL KAPTEN MUSLIM LANTAI 5 NO111, DWI KORA, KEC. MEDAN HELVETIA, KOTA MEDAN 20123",millenium-medan@tmeme.com,"Kesenian, Hiburan, dan Rekreasi",,TIME ZONE,None,061-8460360,,,
67,"JL ISKANDAR MUDA, BABURA, KEC. MEDAN BARU, KOTA MEDAN 20154",,"Kesenian, Hiburan, dan Rekreasi",,TIME ZONE,None,,,,
68,"BINJAI SUPERMALL LT GS, TIMBANG LANGKAT, KEC. BINJAI TIMUR, KOTA BINJAI 20732",,"Kesenian, Hiburan, dan Rekreasi",,X - FAMILY FIT BUGAR NUSANTARA,PT,061-8826393,,,
69,"JL SUTOMO RT. 12/RW. 01, PAHLAWAN, KEC. SIANTAR TIMUR, KOTA PEMATANG SIANTAR 21132",,"Kesenian, Hiburan, dan Rekreasi",,ZONE 2000,None,0622-7553521,,,
70,"JL KOLONEL SUGIONO, A U R, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",,"Kesenian, Hiburan, dan Rekreasi",,ZONE ENTERTAIMANT,None,,,,
71,"JL PADANG PASIR RAYA NO 6, PADANG PASIR, KEC. PADANG BARAT, KOTA PADANG 25112",,"Kesenian, Hiburan, dan Rekreasi",,FITNES GOLD BHI,PT,0751-25388,,,
72,"JL PROF HAMKA NO 2A BASKO GRAND MALL RT. 01/RW. 03, AIR TAWAR TIMUR, KEC. PADANG UTARA, KOTA PADANG 25132",fspadang@funstation.co.id,"Kesenian, Hiburan, dan Rekreasi",,FUN STATION,None,0751-7052216,,,
73,"JL GAJAH MADA NO 105 B RT. 03/RW. 08, GUNUNG PANGILUN, KEC. PADANG UTARA, KOTA PADANG 25137",,"Kesenian, Hiburan, dan Rekreasi",,G SPORT,None,0751-40889,,,
74,"JL KIMIA NO 27 KOMPLEK PGRI RT. 01/RW. 01, KAMPUNG OLO, KEC. NANGGALO, KOTA PADANG 25143",,"Kesenian, Hiburan, dan Rekreasi",,GP FUTSAL <ADIT>,None,085100064424,,,
75,"PLAZA ANDALAS LT 4 NO 46 RT. 03/RW. 04, OLO, KEC. PADANG BARAT, KOTA PADANG 25117",,"Kesenian, Hiburan, dan Rekreasi",,INUL VIZTA,None,0751-7530191,,,
76,"KOMPLEK PT SEMEN PADANG L75 RT. 03/RW. 04, INDARUNG, KEC. LUBUK KILANGAN, KOTA PADANG 25237",,"Kesenian, Hiburan, dan Rekreasi",,KABAU SIRAH,PT,0751-202593,0751-0751202566,,
77,"JL SAMUDRA NO 24 RT. 01/RW. 04, BELAKANG TANGSI, KEC. PADANG BARAT, KOTA PADANG 25118",,"Kesenian, Hiburan, dan Rekreasi",,KANTOR IMI SUMBAR,None,0751-34879,,,
78,"AIR DINGIN MUAROKALABAN, MUARO KALABAN, KEC. SILUNGKANG, KOTA SAWAH LUNTO 27435",,"Kesenian, Hiburan, dan Rekreasi",,KANTOR WWS,PT,0755-480007,,,
79,"JL CINDUA MATO RT. 02/RW. 03, BENTENG PASAR ATAS, KEC. GUGUK PANJANG, KOTA BUKITTINGGI 26113",,"Kesenian, Hiburan, dan Rekreasi",,KEBUN BINATANG KINANTAN,None,082388284828,,,
80,"JL BATANG ARAU NO 84 RT. 3/RW. 4, BEROK NIPAH, KEC. PADANG BARAT, KOTA PADANG 25118",,"Kesenian, Hiburan, dan Rekreasi",,MHI,PT,0751-22247,,,
81,"TANGAH PADANG JAWI JAWI, JAWI-JAWI GUGUAK, KEC. GUNUNG TALANG, KAB. SOLOK 27365",,"Kesenian, Hiburan, dan Rekreasi",,MULTAZAM GAMBUS,None,08126768576,,,
82,"PERKAMPUNGAN MINANG KABAU VILLAGE RT. 16, SILAING BAWAH, KEC. PADANG PANJANG BARAT, KOTA PADANG PANJANG 27118",,"Kesenian, Hiburan, dan Rekreasi",,NIAGARA FANTASI ISLAND,PT,0752-48272,,,www.mifanwaterpark.com
83,"PASAR LABAN RT. 04/RW. 02, BUNGUS SELATAN, KEC. BUNGUS TELUK KABUNG, KOTA PADANG 25242",,"Kesenian, Hiburan, dan Rekreasi",,PRAWISATA CAROLINA INDAH,None,,,,
84,"KOMPLEK TMC RT. 02, KARAN AUR, KEC. PARIAMAN TENGAH, KOTA PARIAMAN 25514",,"Kesenian, Hiburan, dan Rekreasi",,TAMAR SPORT CENTER <TSC>,None,082169019182,,,
85,"JL DIPONEGOR0 NO 25 RT. 03/RW. 06, BELAKANG TANGSI, KEC. PADANG BARAT, KOTA PADANG 25110",zurni@teeboxcccom,"Kesenian, Hiburan, dan Rekreasi",,TEEBOX,None,0751-23175,0751-0751025609,,
86,"PARIK RANTANG RT. 01/RW. 03, PARIK RANTANG, KEC. PAYAKUMBUH BARAT, KOTA PAYAKUMBUH 26222",,"Kesenian, Hiburan, dan Rekreasi",,TERRA ZONE,PT,0752-91002,,,
87,"BLOK A LANTAI 3 PASAR ATAS RT. 03/RW. 01, BENTENG PASAR ATAS, KEC. GUGUK PANJANG, KOTA BUKITTINGGI 26113",,"Kesenian, Hiburan, dan Rekreasi",,TERRAZONE,PT,082284365000,,,
88,"AIR DINGIN, MUARO KALABAN, KEC. SILUNGKANG, KOTA SAWAH LUNTO 27435",,"Kesenian, Hiburan, dan Rekreasi",,WATERBOOM SAWAHLUNTO,None,0755-3212129,,,
89,"KOM PONDOK INDAH B 12 RT. 02/RW. 01, GANTING PARAK GADANG, KEC. PADANG TIMUR, KOTA PADANG 25123",,"Kesenian, Hiburan, dan Rekreasi",,WEST SUMATERA INDAH,PT,0751-891633,,,
90,"JL RIAU NO 42 RT. 03/RW. 01, KAMPUNG BARU, KEC. SENAPELAN, KOTA PEKANBARU 28154",,"Kesenian, Hiburan, dan Rekreasi",,88 HOKKI GAME CENTER,None,0761-24688,,,
91,"JL PEPAYA KOMPLEK PLAZA CITRA NO 78 RT. 04/RW. 03, JADIREJO, KEC. SUKAJADI, KOTA PEKANBARU 28126",,"Kesenian, Hiburan, dan Rekreasi",,88 ZONE,None,08126812523,,,
92,"MALL SKA RT. 02/RW. 72, DELIMA, KEC. TAMPAN, KOTA PEKANBARU 28291",,"Kesenian, Hiburan, dan Rekreasi",,AMAZONE,None,085278695590,,,
93,"JL KUANTAN RAYA RT. 02/RW. 03, SEKIP, KEC. LIMAPULUH, KOTA PEKANBARU 28142",,"Kesenian, Hiburan, dan Rekreasi",,ARENA,None,0761-20808,,,
94,"JL TAMBUSAI KOMP SENTRA NANGKA MAS RT. 04/RW. 03, KAMPUNG MELAYU, KEC. SUKAJADI, KOTA PEKANBARU 28124",,"Kesenian, Hiburan, dan Rekreasi",,ARENA ENTERTEMEN,None,08127655549,,,
95,"JL PROF M YAMIN RT. 10, PANGKALAN SESAI, KEC. DUMAI BARAT, KOTA D U M A I 28824",,"Kesenian, Hiburan, dan Rekreasi",,BERKABAR MEDIA NUSANTARA,PT,0811758720,,,
96,"JL KUANTAN RAYA RT. 03/RW. 02, SEKIP, KEC. LIMAPULUH, KOTA PEKANBARU 28142",,"Kesenian, Hiburan, dan Rekreasi",,CAFE DAN BILYARD NEW HOLLYWOOD,None,,,,
97,"JL LINTAS PEKANBARU-DURI RT. 01/RW. 05, KANDIS KOTA, KEC. KANDIS, KAB. S I A K 28686",,"Kesenian, Hiburan, dan Rekreasi",,CAHAYA RATNA GROUP,PT,082171720017,,,
98,"PERKANTORAN SUDIRMAN RAYA RT. 02/RW. 16, TENGKERANG TENGAH, KEC. MARPOYAN DAMAI, KOTA PEKANBARU 28282",,"Kesenian, Hiburan, dan Rekreasi",,DIVA KARAOKE,None,0761-7892290,,,www.divakaraoke.co.id
99,"JL SOEKARNO HATTA RT. 04/RW. 08, TENGKERANG BARAT, KEC. MARPOYAN DAMAI, KOTA PEKANBARU 28282",,"Kesenian, Hiburan, dan Rekreasi",,DRIVING RANCE GOLF,PT,0761-563760,,,
100,"BATANG KUMU RT. 04/RW. 01, BATANG KUMU, KEC. TAMBUSAI, KAB. ROKAN HULU 28558",,"Kesenian, Hiburan, dan Rekreasi",,DS D MUSIK INTERTAINMENT,None,,,,
101,"JL JENDRAL SUDIRMAN KOMP RUKO MALAHAYATI RT. 03/RW. 21, AIR JAMBAN, KEC. MANDAU, KAB. BENGKALIS 28784",,"Kesenian, Hiburan, dan Rekreasi",,D'TONE FAMILY KARAOKE,None,0765-596775,,,
102,"MALL SKA RT. 02/RW. 12, DELIMA, KEC. TAMPAN, KOTA PEKANBARU 28297",,"Kesenian, Hiburan, dan Rekreasi",,ELEKTRONIK MEGA INDO,None,021-6477666,,,
103,"MAL MP LT 3 RT. 01/RW. 01, KOTA TINGGI, KEC. PEKANBARU KOTA, KOTA PEKANBARU 28112",,"Kesenian, Hiburan, dan Rekreasi",,ELEKTRONIK MEGA INDO,PT,0761-850061,,,
104,"JL LINTAS PEKANBARU DURI KM 73 RT. 02/RW. 02, SIMPANG BELUTU, KEC. KANDIS, KAB. S I A K 28686",,"Kesenian, Hiburan, dan Rekreasi",,EZONE,None,0761-598660,,,
105,"JL SULTAN HASANUDIN RT. 18, RIMBA SEKAMPUNG, KEC. DUMAI KOTA, KOTA D U M A I",,"Kesenian, Hiburan, dan Rekreasi",,EZONE,None,081363332530,,,
106,"JL IMAM MUNANDAR NO 201, TENGKERANG UTARA, KEC. BUKIT RAYA, KOTA PEKANBARU 28282",emipku1@hotmail.com,"Kesenian, Hiburan, dan Rekreasi",,EZONE,None,0052-64210818,,,
107,"JL PERDAGANGAN RT. 12/RW. 03, BAGAN BARAT, KEC. BANGKO, KAB. ROKAN HILIR 28912",,"Kesenian, Hiburan, dan Rekreasi",,E-ZONE,None,085264502024,,,
108,"JL K H NASUTION (GD M POINT) RT. 01/RW. 03, SIMPANG TIGA, KEC. BUKIT RAYA, KOTA PEKANBARU 28284",,"Kesenian, Hiburan, dan Rekreasi",,EZONE,PT,081372187095,,,
109,"GD A LT1 THE CENTRAL RT. 03/RW. 01, PADANG BULAN, KEC. SENAPELAN, KOTA PEKANBARU 28156",,"Kesenian, Hiburan, dan Rekreasi",,FAJAR UTAMA NUANSA,PT,081365692909,,,
110,"JL H IMAM MUNANDAR 223-224 RT. 01/RW. 09, TENGKERANG UTARA, KEC. BUKIT RAYA, KOTA PEKANBARU 28289",,"Kesenian, Hiburan, dan Rekreasi",,FAMILY BOX KARAOKE KELUARGA,None,0761-540880,,,
111,"JL SUDIRMAN NO 123 LT 2 MALL MP RT. 01/RW. 01, KOTA TINGGI, KEC. PEKANBARU KOTA, KOTA PEKANBARU 28112",,"Kesenian, Hiburan, dan Rekreasi",,FUN STATION,None,08127627894,,,
112,"JL LAGAN RT. 02/RW. 28, TUAH KARYA, KEC. TAMPAN, KOTA PEKANBARU 28291",,"Kesenian, Hiburan, dan Rekreasi",,GOR VILLA LAGAN PERMAI / INDRA,None,082172025678,,,
113,"JL LINTAS TIMUR, PANGKALAN KERINCI TIMUR, KEC. PANGKALAN KERINCI, KAB. PELALAWAN",,"Kesenian, Hiburan, dan Rekreasi",,GRAND HOTEL KERINCI WATERPARK,PT,0761-494999,,,
114,"JL LINTAS SUMUT KM 4, BAHTERA MAKMUR, KEC. BAGAN SINEMBAH, KAB. ROKAN HILIR 28992",,"Kesenian, Hiburan, dan Rekreasi",,HARCO MANDIRI SEJAHTERA,PT,082386273193,,,
